Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,0,0
0.01,0.05,0.05,0,0,0,0
0.02,0.05,0.05,0,0,0,0
0.03,0.05,0.05,0,0,-0.20943951023932,-0.20943951023932
0.04,0.05,0.05,0,0,-0.20943951023932,-0.20943951023932
0.05,0.05,0.05,-2.0943951023932e-05,-2.0943951023932e-05,-0.20943951023932,-0.20943951023932
0.06,0.05,0.05,-6.28318530717959e-05,-6.28318530717959e-05,-0.20943951023932,-0.20943951023932
0.07,0.0499999853242743,0.0499999853242743,-0.000125663706143592,-0.000125663706143592,-0.20943951023932,-0.20943951023932
0.08,0.0499999266213716,0.0499999266213716,-0.00020943951023932,-0.00020943951023932,-0.20943951023932,-0.20943951023932
0.09,0.0499997798641148,0.0499997798641148,-0.000314159265358979,-0.000314159265358979,-0.20943951023932,-0.20943951023932
0.1,0.0499994863496011,0.0499994863496011,-0.000439822971502571,-0.000439822971502571,-0.20943951023932,-0.20943951023932
0.11,0.0499989726992023,0.0499989726992023,-0.000586430628670095,-0.000586430628670095,-0.20943951023932,-0.20943951023932
0.12,0.0499981508585641,0.0499981508585641,-0.00075398223686155,-0.00075398223686155,-0.20943951023932,-0.20943951023932
0.13,0.0499969180976068,0.0499969180976068,-0.000942477796076938,-0.000942477796076938,-0.20943951023932,-0.20943951023932
0.14,0.049995157010525,0.049995157010525,-0.00115191730631626,-0.00115191730631626,-0.20943951023932,-0.20943951023932
0.15,0.0499927355157875,0.0499927355157875,-0.00138230076757951,-0.00138230076757951,-0.20943951023932,-0.20943951023932
0.16,0.0499895068561375,0.0499895068561375,-0.00163362817986669,-0.00163362817986669,-0.20943951023932,-0.20943951023932
0.17,0.0499853095985926,0.0499853095985926,-0.00190589954317781,-0.00190589954317781,-0.20943951023932,-0.20943951023932
0.18,0.0499799676344444,0.0499799676344444,-0.00219911485751286,-0.00219911485751286,-0.20943951023932,-0.20943951023932
0.19,0.0499732901792592,0.0499732901792592,-0.00251327412287184,-0.00251327412287184,-0.20943951023932,-0.20943951023932
0.2,0.0499650717728774,0.0499650717728774,-0.00284837733925475,-0.00284837733925475,-0.20943951023932,-0.20943951023932
0.21,0.0499550922794138,0.0499550922794138,-0.00320442450666159,-0.00320442450666159,-0.20943951023932,-0.20943951023932
